N,intensity_pct,cpu_gbps,decode_tok_s,ms_per_step,slowdown_pct,decode_throttle,steps,peak_mb,kv_mb
2048,0,0.0,177.51,5.571,0.0,1.31,533,1033.0,24.0
2048,50,28.08,125.84,7.683,29.1,1.601,378,1033.0,24.0
2048,100,68.4,99.77,9.848,43.8,1.729,300,1033.0,24.0
