mode,duty_pct,cpu_gbps_dec,cpu_gbps_pf,prefill_solo_ms,prefill_load_ms,prefill_slow_pct,decode_solo_toks,decode_load_toks,decode_slow_pct,decode_throttle
stream,100,38.73,48.3,3451.2,3536.4,2.5,47.1,30.3,35.7,1.055
memcpy,100,40.53,48.48,3451.2,3573.1,3.5,47.1,27.0,42.6,1.053
scan,100,36.46,51.08,3451.2,3483.7,0.9,47.1,37.4,20.7,1.106
random,100,1.75,1.94,3451.2,3513.4,1.8,47.1,34.7,26.4,1.068
