N,prefill_ms_med,decode_ms_med,prefill_min,decode_min,decode_max,peak_mb,prefill_max,cpu_speed_limit,decode_ctx_tokens,kv_mb
128,621.5258749998611,42.51754199958668,618.0212500003108,42.23445800016634,42.84545800055639,4299.886363983154,626.0330000004615,,130,7.0
256,1234.6809999999095,42.67487499964773,1213.5589159997835,42.42337499999849,43.0059579994122,4388.886787414551,1249.582041999929,,258,14.0
512,2538.830333000078,46.798375000435044,2482.0587079993857,43.69979199964291,47.39708299985068,4493.887748718262,2567.9832919995533,,514,28.0
1024,5469.966499999828,46.51158299930103,4965.696624999509,44.769666000320285,49.517833000209066,4647.889686584473,5948.076708000372,,1026,56.0
2048,13414.769250000063,48.70237500017538,12636.570082999242,45.65958300008788,50.041666000652185,4872.893577575684,13981.03591600011,,2050,112.0
4096,29816.992500000197,50.40037500020844,28297.353042000395,48.15874999985681,51.44187499990949,5188.901382446289,30893.365999999332,,4098,224.0
