intensity_pct,cpu_gbps,decode_tok_s,ms_per_step,slowdown_pct,throttle
0,0.0,75.06,13.426,0.0,1.161
10,3.75,68.94,14.319,8.2,2.881
20,8.34,75.64,13.21,-0.8,1.291
30,11.07,74.5,13.785,0.7,1.203
40,18.63,65.39,15.297,12.9,1.164
50,26.72,69.41,13.97,7.5,1.169
60,34.01,65.37,15.385,12.9,1.157
70,42.14,62.19,16.004,17.1,1.096
80,50.41,57.39,17.414,23.5,1.161
90,58.74,53.58,18.511,28.6,1.089
100,69.59,48.68,20.491,35.1,1.043
