intensity_pct,cpu_gbps,decode_tok_s,ms_per_step,slowdown_pct,throttle
0,0.0,46.99,21.281,0.0,1.09
10,2.65,46.17,20.971,1.8,1.225
20,5.56,46.64,20.52,0.8,1.245
30,8.58,46.61,21.874,0.8,1.119
40,11.95,44.49,23.027,5.3,1.141
50,17.18,42.76,23.11,9.0,1.093
60,21.24,40.46,24.625,13.9,1.118
70,25.48,38.2,25.884,18.7,1.086
80,28.0,36.28,27.511,22.8,1.054
90,33.29,33.39,29.857,28.9,1.069
100,37.78,30.02,33.155,36.1,1.072
