N,intensity_pct,cpu_gbps,decode_tok_s,ms_per_step,slowdown_pct,decode_throttle,steps,peak_mb,kv_mb
2048,0,0.0,44.58,22.397,0.0,1.198,134,2308.0,72.0
2048,50,25.03,36.24,27.323,18.7,1.124,109,2308.0,72.0
2048,100,65.24,26.03,38.068,41.6,1.079,79,2308.0,72.0
