N,prefill_ms,decode_ms,kv_mb,recompute_tax_steps,b_star_gbps,pcie_swapin_ms,pcie_roundtrip_ms,uma_read_ms,uma_read_eff_ms,recompute_beats_pcie,recompute_beats_uma
128,121.87283399998705,10.660916000006182,3.5,11.43174132503402,0.03011348698103131,0.14680064,0.29360128,0.03058346666666667,0.0591938064516129,False,False
256,240.96641599999202,10.75524999987465,7.0,22.4045388068897,0.03046080911125907,0.29360128,0.58720256,0.06116693333333334,0.1183876129032258,False,False
512,484.6403750000263,12.327334000019619,14.0,39.314289285846804,0.030290633544510615,0.58720256,1.17440512,0.12233386666666668,0.2367752258064516,False,False
1024,980.8017079999445,12.26733399994373,28.0,79.95231139907362,0.02993482552132919,1.17440512,2.34881024,0.24466773333333336,0.4735504516129032,False,False
2048,2068.042500000047,12.849333000076513,56.0,160.9455136688988,0.02839412439541193,2.34881024,4.69762048,0.4893354666666667,0.9471009032258064,False,False
4096,4521.775832999992,12.207750000015949,112.0,370.40206696517254,0.025972210108895107,4.69762048,9.39524096,0.9786709333333334,1.8942018064516128,False,False
8192,11969.088624999813,15.240167000001748,224.0,785.3646633267497,0.019623968988700148,9.39524096,18.79048192,1.9573418666666669,3.7884036129032257,False,False
