N,prefill_ms_med,decode_ms_med,prefill_min,decode_min,decode_max,peak_mb,prefill_max,cpu_speed_limit,decode_ctx_tokens,kv_mb
128,121.87283399998705,10.660916000006182,121.20520899998155,10.468209000009665,10.766207999949984,1023.1208400726318,122.45195799982866,,130,3.5
256,240.96641599999202,10.75524999987465,239.01237499990202,10.683208000045852,10.982459000160816,1206.4338073730469,241.69625000013184,,258,7.0
512,484.6403750000263,12.327334000019619,481.06845799998155,11.776499999996304,13.109750000012355,1413.9347229003906,485.83862500004216,,514,14.0
1024,980.8017079999445,12.26733399994373,976.0980830001245,11.651250000113578,12.713666999843554,1526.1866149902344,986.2318340001366,,1026,28.0
2048,2068.042500000047,12.849333000076513,2036.4998750001178,12.357874999906926,13.182166999968103,1540.1904754638672,2103.0084579999766,,2050,56.0
4096,4521.775832999992,12.207750000015949,4445.306999999957,12.168707999990147,12.285207999866543,1559.1982650756836,4611.984082999925,,4098,112.0
8192,11969.088624999813,15.240167000001748,11015.79295800002,14.924709000069925,17.880791999914436,1959.2138900756836,12284.79091700001,,8194,224.0
