N,prefill_solo_ms,prefill_load_ms,prefill_slow_pct,prefill_gpu_mhz,decode_solo_toks,decode_load_toks,decode_slow_pct,cpu_gbps_pf,cpu_gbps_dec
2048,2145.6,2134.6,-0.5,1406.0,76.8,48.4,37.0,85.2,69.3
4096,4332.4,4656.4,7.5,1277.0,77.0,46.9,39.0,83.7,68.8
