intensity_pct,cpu_gbps,decode_tok_s,ms_per_step,slowdown_pct,throttle
0,0.0,78.05,12.788,0.0,2.204
10,4.39,76.82,12.623,1.6,1.395
20,8.81,76.91,12.868,1.5,1.339
30,13.44,74.71,13.519,4.3,1.128
40,19.66,70.22,14.323,10.0,1.198
50,26.61,69.66,13.915,10.7,1.159
60,34.98,65.68,15.254,15.8,1.125
70,42.51,62.38,15.993,20.1,1.083
80,51.03,57.7,17.356,26.1,1.072
90,59.27,53.7,18.461,31.2,1.072
100,70.13,48.6,20.546,37.7,1.032
